timestamp,method,number_of_tests,total_accuracy,constable,hopper,lowry,monet,rembrandt,rubens,turner,,,,
2017-12-06T16:21:47,tree,140,29.3,35,20,25,25,45,45,10,,,,
2017-12-06T16:23:12,neural_network,140,21.4,0,50,0,0,0,100,0,,,,
2017-12-06T17:08:16,tree_hog,140,33.6,40,30,20,40,55,20,30,,,,
2017-12-06T17:10:06,neural_network_hog,140,20,5,0,0,0,100,0,35,,,,
2017-12-06T17:35:30,svm_hog,140,24.3,35,0,10,30,90,5,0,,,,
2017-12-06T17:45:35,svm_pixels,140,50,60,30,30,30,85,50,65,,,,
timestamp,type,method,number_of_tests,total_accuracy,constable,hopper,kandinsky,lowry,monet,rembrandt,rothko,rubens,turner,van-gogh
2017-12-08T13:26:26,svm,flatten_pixels,200,40,45,15,30,40,10,80,35,40,65,40
2017-12-08T15:46:00,svm,flatten_pixels,200,36.5,45,10,30,50,0,85,25,30,60,30
2017-12-08T15:46:41,tree,flatten_pixels,200,27.5,25,10,20,30,5,70,35,15,60,5
2017-12-08T15:47:18,neural_network,flatten_pixels,200,13,0,0,10,0,0,0,20,100,0,0
2017-12-08T15:48:10,svm,grayscale_hog,200,31,20,10,30,15,15,90,0,10,50,70
2017-12-08T15:48:40,tree,grayscale_hog,200,35,30,25,35,30,5,55,50,15,75,30
2017-12-08T15:49:08,neural_network,grayscale_hog,200,13,0,20,5,65,0,0,40,0,0,0
2017-12-08T16:46:50,svm,daisy,200.0,22.0,0.0,20.0,80.0,0.0,10.0,45.0,10.0,0.0,25.0,30.0
2017-12-08T16:48:40,tree,daisy,200.0,29.5,25.0,15.0,25.0,40.0,5.0,45.0,35.0,25.0,55.0,25.0
2017-12-08T16:49:47,neural_network,daisy,200.0,27.0,5.0,0.0,45.0,0.0,30.0,70.0,50.0,15.0,50.0,5.0
2017-12-08T17:05:47,svm,grayscale_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-08T17:06:47,tree,grayscale_histogram,200.0,26.5,15.0,35.0,30.0,25.0,15.0,45.0,0.0,25.0,50.0,25.0
2017-12-08T17:08:13,neural_network,grayscale_histogram,200.0,22.5,5.0,10.0,40.0,15.0,15.0,65.0,10.0,35.0,15.0,15.0
2017-12-08T17:48:49,svm,colour_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-08T17:49:38,tree,colour_histogram,200.0,39.0,10.0,30.0,50.0,45.0,15.0,80.0,35.0,30.0,60.0,35.0
2017-12-08T17:50:26,neural_network,colour_histogram,200.0,28.0,25.0,15.0,25.0,35.0,5.0,55.0,20.0,15.0,35.0,50.0
2017-12-08T20:22:23,neural_network,colour_histogram,200.0,25.5,5.0,25.0,30.0,15.0,10.0,60.0,15.0,25.0,55.0,15.0
2017-12-08T20:23:08,svm,colour_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-08T20:23:52,tree,colour_histogram,200.0,30.0,25.0,10.0,35.0,35.0,5.0,65.0,20.0,20.0,55.0,30.0
2017-12-08T20:31:00,svm,grayscale_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-08T20:32:05,tree,grayscale_histogram,200.0,29.5,15.0,20.0,30.0,25.0,30.0,45.0,15.0,25.0,55.0,35.0
2017-12-08T20:32:43,neural_network,grayscale_histogram,200.0,30.5,20.0,5.0,30.0,45.0,20.0,65.0,10.0,20.0,30.0,60.0
2017-12-09T08:18:42,svm,daisy,200.0,22.0,45.0,0.0,0.0,25.0,35.0,15.0,10.0,5.0,10.0,75.0
2017-12-09T08:20:00,tree,daisy,200.0,27.5,20.0,20.0,25.0,30.0,25.0,45.0,35.0,5.0,55.0,15.0
2017-12-09T08:21:46,neural_network,daisy,200.0,43.5,35.0,20.0,50.0,35.0,15.0,60.0,50.0,35.0,75.0,60.0
2017-12-09T09:35:25,neural_network,daisy,200.0,43.0,65.0,15.0,35.0,30.0,35.0,50.0,40.0,30.0,60.0,70.0
2017-12-09T22:15:50,svm,colour_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-09T22:19:49,tree,colour_histogram,200.0,33.5,10.0,25.0,35.0,30.0,15.0,70.0,25.0,30.0,60.0,35.0
2017-12-09T22:20:37,neural_network,colour_histogram,200.0,28.0,15.0,30.0,30.0,30.0,20.0,40.0,25.0,25.0,50.0,15.0
2017-12-09T22:54:24,svm,colour_histogram,200.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0
2017-12-10T10:11:46,svm,simple_mean,200.0,23.5,15.0,15.0,20.0,10.0,10.0,60.0,5.0,55.0,30.0,15.0
2017-12-10T10:12:15,tree,simple_mean,200.0,24.0,25.0,15.0,10.0,10.0,15.0,45.0,5.0,45.0,45.0,25.0
2017-12-10T10:12:29,neural_network,simple_mean,200.0,17.0,0.0,0.0,0.0,25.0,0.0,60.0,0.0,0.0,85.0,0.0
2017-12-10T10:15:51,svm,colour_means,200.0,26.0,30.0,5.0,15.0,55.0,0.0,85.0,15.0,35.0,0.0,20.0
2017-12-10T10:16:37,svm,colour_means,200.0,26.0,30.0,5.0,15.0,55.0,0.0,85.0,15.0,35.0,0.0,20.0
2017-12-10T10:16:50,tree,colour_means,200.0,33.5,10.0,20.0,15.0,30.0,20.0,65.0,60.0,30.0,60.0,25.0
2017-12-10T10:17:03,neural_network,colour_means,200.0,33.5,35.0,15.0,15.0,65.0,5.0,85.0,55.0,40.0,10.0,10.0
2017-12-10T10:55:21,svm,grid_simple_means,200.0,32.0,45.0,5.0,35.0,40.0,0.0,85.0,5.0,30.0,50.0,25.0
2017-12-10T10:55:35,tree,grid_simple_means,200.0,25.0,10.0,30.0,10.0,35.0,20.0,25.0,20.0,25.0,65.0,10.0
2017-12-10T10:55:48,neural_network,grid_simple_means,200.0,36.0,40.0,10.0,15.0,50.0,25.0,85.0,50.0,25.0,40.0,20.0
2017-12-10T11:00:25,svm,grid_colour_means,200.0,35.0,45.0,15.0,30.0,45.0,0.0,85.0,15.0,30.0,60.0,25.0
2017-12-10T11:00:38,tree,grid_colour_means,200.0,34.0,30.0,5.0,20.0,20.0,35.0,75.0,35.0,40.0,60.0,20.0
2017-12-10T11:04:55,tree,grid_colour_means,200.0,33.0,40.0,10.0,30.0,10.0,35.0,55.0,35.0,55.0,30.0,30.0
2017-12-10T11:06:42,tree,grid_colour_means,200.0,29.0,70.0,0.0,55.0,40.0,0.0,50.0,15.0,30.0,30.0,0.0
2017-12-10T11:08:12,tree,grid_colour_means,200.0,31.5,30.0,15.0,25.0,25.0,30.0,70.0,20.0,35.0,45.0,20.0
2017-12-10T11:09:32,tree,grid_colour_means,200.0,21.5,75.0,0.0,55.0,0.0,0.0,55.0,0.0,30.0,0.0,0.0
2017-12-10T11:13:59,tree,grid_colour_means,200.0,21.5,75.0,0.0,55.0,0.0,0.0,55.0,0.0,30.0,0.0,0.0
2017-12-10T11:41:37,svm,texture,200.0,19.0,5.0,20.0,0.0,0.0,25.0,15.0,0.0,85.0,40.0,0.0
2017-12-10T11:43:03,tree,texture,200.0,28.5,25.0,20.0,35.0,30.0,5.0,25.0,30.0,30.0,55.0,30.0
